Scorecard,Team 1,Team 2,Winner,Margin,Ground,Match Date,Host_Country,Innings_Team1,Innings_Team2
ODI # 1,Australia,England,Australia,5 wickets,Melbourne,5-Jan-71,Australia,Second,First
ODI # 2,England,Australia,England,6 wickets,Manchester,24-Aug-72,England,Second,First
ODI # 3,England,Australia,Australia,5 wickets,Lord's,26-Aug-72,England,First,Second
ODI # 4,England,Australia,England,2 wickets,Birmingham,28-Aug-72,England,Second,First
ODI # 5,New Zealand,Pakistan,New Zealand,22 runs,Christchurch,11-Feb-73,New Zealand,First,Second
ODI # 6,England,New Zealand,England,7 wickets,Swansea,18-Jul-73,England,Second,First
ODI # 7,England,New Zealand,no result,,Manchester,20-Jul-73,England,Second,First
ODI # 8,England,West Indies,England,1 wicket,Leeds,5-Sep-73,England,First,Second
ODI # 9,England,West Indies,West Indies,8 wickets,The Oval,7-Sep-73,New Zealand,First,Second
ODI # 10,New Zealand,Australia,Australia,7 wickets,Dunedin,30-Mar-74,New Zealand,Second,First
ODI # 11,New Zealand,Australia,Australia,31 runs,Christchurch,31-Mar-74,England,Second,First
ODI # 12,England,India,England,4 wickets,Leeds,13-Jul-74,England,Second,First
ODI # 13,England,India,England,6 wickets,The Oval,"Jul 15-16, 1974",England,First,Second
ODI # 14,England,Pakistan,Pakistan,7 wickets,Nottingham,31-Aug-74,England,First,Second
ODI # 15,England,Pakistan,Pakistan,8 wickets,Birmingham,3-Sep-74,Australia,First,Second
ODI # 16,Australia,England,England,3 wickets,Melbourne,1-Jan-75,England,First,Second
ODI # 17,New Zealand,England,no result,,Dunedin,8-Mar-75,England,Second,First
ODI # 18,New Zealand,England,no result,,Wellington,9-Mar-75,England,First,Second
ODI # 19,England,India,England,202 runs,Lord's,7-Jun-75,England,First,Second
ODI # 20,East Africa,New Zealand,New Zealand,181 runs,Birmingham,7-Jun-75,England,First,Second
ODI # 21,Australia,Pakistan,Australia,73 runs,Leeds,7-Jun-75,England,First,Second
ODI # 22,Sri Lanka,West Indies,West Indies,9 wickets,Manchester,7-Jun-75,England,First,Second
ODI # 23,England,New Zealand,England,80 runs,Nottingham,11-Jun-75,England,First,Second
ODI # 24,East Africa,India,India,10 wickets,Leeds,11-Jun-75,England,First,Second
ODI # 25,Australia,Sri Lanka,Australia,52 runs,The Oval,11-Jun-75,England,First,Second
ODI # 26,Pakistan,West Indies,West Indies,1 wicket,Birmingham,11-Jun-75,England,First,Second
ODI # 27,England,East Africa,England,196 runs,Birmingham,14-Jun-75,England,First,Second
ODI # 28,India,New Zealand,New Zealand,4 wickets,Manchester,14-Jun-75,England,First,Second
ODI # 29,Australia,West Indies,West Indies,7 wickets,The Oval,14-Jun-75,England,First,Second
ODI # 30,Pakistan,Sri Lanka,Pakistan,192 runs,Nottingham,14-Jun-75,England,Second,First
ODI # 31,England,Australia,Australia,4 wickets,Leeds,18-Jun-75,Australia,Second,First
ODI # 32,New Zealand,West Indies,West Indies,5 wickets,The Oval,18-Jun-75,New Zealand,Second,First
ODI # 33,Australia,West Indies,West Indies,17 runs,Lord's,21-Jun-75,New Zealand,First,Second
ODI # 34,Australia,West Indies,Australia,5 wickets,Adelaide,20-Dec-75,England,First,Second
ODI # 35,New Zealand,India,New Zealand,9 wickets,Christchurch,21-Feb-76,England,Second,First
ODI # 36,New Zealand,India,New Zealand,80 runs,Auckland,22-Feb-76,England,Second,First
ODI # 37,England,West Indies,West Indies,6 wickets,Scarborough,26-Aug-76,Pakistan,Second,First
ODI # 38,England,West Indies,West Indies,36 runs,Lord's,"Aug 28-29, 1976",West Indies,Second,First
ODI # 39,England,West Indies,West Indies,50 runs,Birmingham,"Aug 30-31, 1976",England,Second,First
ODI # 40,Pakistan,New Zealand,New Zealand,1 run,Sialkot,16-Oct-76,England,First,Second
ODI # 41,West Indies,Pakistan,West Indies,4 wickets,Albion,16-Mar-77,England,First,Second
ODI # 42,England,Australia,England,2 wickets,Manchester,2-Jun-77,Pakistan,First,Second
ODI # 43,England,Australia,England,101 runs,Birmingham,4-Jun-77,Pakistan,First,Second
ODI # 44,England,Australia,Australia,2 wickets,The Oval,6-Jun-77,Pakistan,First,Second
ODI # 45,Pakistan,England,England,3 wickets,Sahiwal,23-Dec-77,West Indies,First,Second
ODI # 46,Pakistan,England,England,6 wickets,Sialkot,30-Dec-77,West Indies,First,Second
ODI # 47,Pakistan,England,Pakistan,36 runs,Lahore,13-Jan-78,England,First,Second
ODI # 48,West Indies,Australia,West Indies,44 runs,St John's,22-Feb-78,England,First,Second
ODI # 49,West Indies,Australia,Australia,2 wickets,Castries,12-Apr-78,England,First,Second
ODI # 50,England,Pakistan,England,132 runs,Manchester,"May 24-25, 1978",England,First,Second
ODI # 51,England,Pakistan,England,94 runs,The Oval,26-May-78,Pakistan,Second,First
ODI # 52,England,New Zealand,England,19 runs,Scarborough,15-Jul-78,Pakistan,Second,First
ODI # 53,England,New Zealand,England,126 runs,Manchester,17-Jul-78,Australia,First,Second
ODI # 54,Pakistan,India,India,4 runs,Quetta,1-Oct-78,Australia,Second,First
ODI # 55,Pakistan,India,Pakistan,8 wickets,Sialkot,13-Oct-78,Australia,Second,First
ODI # 56,Pakistan,India,Pakistan,,Sahiwal,3-Nov-78,England,First,Second
ODI # 57,Australia,England,no result,,Sydney,13-Jan-79,England,Second,First
ODI # 58,Australia,England,England,7 wickets,Melbourne,24-Jan-79,England,Second,First
ODI # 59,Australia,England,Australia,4 wickets,Melbourne,4-Feb-79,England,First,Second
ODI # 60,Australia,England,Australia,6 wickets,Melbourne,7-Feb-79,England,First,Second
ODI # 61,India,West Indies,West Indies,9 wickets,Birmingham,9-Jun-79,England,Second,First
ODI # 62,New Zealand,Sri Lanka,New Zealand,9 wickets,Nottingham,9-Jun-79,England,Second,First
ODI # 63,England,Australia,England,6 wickets,Lord's,9-Jun-79,England,Second,First
ODI # 64,Canada,Pakistan,Pakistan,8 wickets,Leeds,9-Jun-79,England,Second,First
ODI # 65,India,New Zealand,New Zealand,8 wickets,Leeds,13-Jun-79,England,Second,First
ODI # 66,Australia,Pakistan,Pakistan,89 runs,Nottingham,"Jun 13-14, 1979",England,First,Second
ODI # 67,England,Canada,England,8 wickets,Manchester,"Jun 13-14, 1979",England,First,Second
ODI # 68,India,Sri Lanka,Sri Lanka,47 runs,Manchester,"Jun 16-18, 1979",England,Second,First
ODI # 69,New Zealand,West Indies,West Indies,32 runs,Nottingham,16-Jun-79,England,Second,First
ODI # 70,Australia,Canada,Australia,7 wickets,Birmingham,16-Jun-79,Australia,Second,First
ODI # 71,England,Pakistan,England,14 runs,Leeds,16-Jun-79,Australia,First,Second
ODI # 72,England,New Zealand,England,9 runs,Manchester,20-Jun-79,Australia,First,Second
ODI # 73,Pakistan,West Indies,West Indies,43 runs,The Oval,20-Jun-79,Australia,Second,First
ODI # 74,England,West Indies,West Indies,92 runs,Lord's,23-Jun-79,Australia,Second,First
ODI # 75,Australia,West Indies,Australia,5 wickets,Sydney,27-Nov-79,Australia,First,Second
ODI # 76,England,West Indies,England,2 runs,Sydney,28-Nov-79,Australia,First,Second
ODI # 77,Australia,England,England,3 wickets,Melbourne,8-Dec-79,Australia,First,Second
ODI # 78,Australia,West Indies,West Indies,80 runs,Melbourne,9-Dec-79,Australia,First,Second
ODI # 79,Australia,England,England,72 runs,Sydney,11-Dec-79,Australia,Second,First
ODI # 80,Australia,West Indies,Australia,7 runs,Sydney,21-Dec-79,Australia,First,Second
ODI # 81,England,West Indies,West Indies,9 wickets,Brisbane,23-Dec-79,Australia,Second,First
ODI # 82,Australia,England,England,4 wickets,Sydney,26-Dec-79,Australia,First,Second
ODI # 83,Australia,England,England,2 wickets,Sydney,14-Jan-80,New Zealand,Second,First
ODI # 84,England,West Indies,West Indies,107 runs,Adelaide,16-Jan-80,England,Second,First
ODI # 85,Australia,West Indies,Australia,9 runs,Sydney,18-Jan-80,England,Second,First
ODI # 86,England,West Indies,West Indies,2 runs,Melbourne,20-Jan-80,England,First,Second
ODI # 87,England,West Indies,West Indies,8 wickets,Sydney,22-Jan-80,England,First,Second
ODI # 88,New Zealand,West Indies,New Zealand,1 wicket,Christchurch,6-Feb-80,Pakistan,First,Second
ODI # 89,England,West Indies,West Indies,24 runs,Leeds,"May 28-29, 1980",Australia,First,Second
ODI # 90,England,West Indies,England,3 wickets,Lord's,30-May-80,Australia,First,Second
ODI # 91,England,Australia,England,23 runs,The Oval,20-Aug-80,Pakistan,First,Second
ODI # 92,England,Australia,England,47 runs,Birmingham,22-Aug-80,Australia,Second,First
